age,workclass,education,marital_status,occupation,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
37,2,1,1,2,1,1,0,0,60,1,1
50,2,1,1,1,0,0,0,0,40,1,0
38,2,1,0,1,0,1,0,0,50,0,0
45,2,1,0,2,0,1,0,0,55,1,0
25,2,0,1,1,0,1,0,0,40,1,0
31,2,1,0,0,0,1,0,0,40,1,0
64,-1,0,1,-1,0,1,0,0,40,1,0
90,2,0,1,0,1,1,0,2206,40,1,0
54,2,0,0,0,1,1,0,0,20,1,0
53,0,0,1,0,0,0,0,0,35,1,0
18,2,0,1,1,0,0,0,0,40,1,0
60,-1,0,1,-1,2,0,0,0,10,1,0
66,1,0,0,0,0,1,1409,0,50,1,0
75,2,1,1,0,0,0,0,0,20,0,0
65,2,0,1,0,0,0,0,0,40,1,0
35,2,0,1,1,1,1,3674,0,40,1,0
41,2,0,1,1,1,0,0,0,38,1,0
25,2,1,1,0,0,1,0,0,42,1,0
33,2,1,1,1,2,0,0,0,40,1,0
28,2,2,1,2,0,1,0,0,55,1,1
59,0,0,0,0,0,1,0,0,40,1,0
40,0,1,1,0,0,0,0,0,38,1,0
41,2,1,0,2,0,1,0,0,50,0,1
38,0,2,0,2,0,1,0,0,70,1,1
23,2,0,1,1,0,1,0,0,40,1,0
40,2,1,0,2,0,1,0,0,40,1,1
41,1,0,0,0,0,0,0,0,20,1,0
24,0,1,0,1,0,1,0,0,50,1,0
20,-1,1,1,-1,0,1,0,0,20,1,0
38,2,1,1,1,0,1,0,1741,40,1,0
56,2,0,0,0,0,1,0,0,35,0,0
58,2,0,0,0,0,1,0,0,45,1,1
32,2,0,1,0,0,0,0,0,34,1,0
40,2,1,0,1,0,1,0,1977,60,1,1
45,2,0,0,0,0,1,0,0,40,0,0
41,2,2,0,2,0,0,0,0,40,1,1
42,2,1,0,0,1,0,0,0,40,1,0
59,0,0,1,0,1,0,0,0,30,1,0
19,0,1,1,0,0,1,0,0,40,1,0
58,2,1,1,1,0,1,0,0,20,1,0
42,1,0,0,0,2,1,0,0,40,0,1
20,2,0,1,0,0,0,0,0,40,1,0
32,2,0,1,0,0,0,0,0,30,1,0
45,2,1,1,2,0,0,0,0,45,1,0
50,2,0,1,1,0,1,0,0,40,1,0
36,2,1,1,2,0,0,0,0,40,1,0
45,2,0,0,1,0,1,0,0,60,1,0
17,2,0,1,0,0,1,0,0,12,1,0
59,2,1,0,1,0,1,4064,0,40,1,0
26,2,0,0,1,0,1,0,0,40,1,0
37,1,1,0,2,2,1,0,0,75,0,1
19,-1,1,1,-1,0,1,0,0,24,0,0
64,2,0,0,2,0,1,0,0,40,1,1
33,2,1,1,2,0,0,0,0,45,1,0
33,2,0,0,1,0,0,0,0,40,1,1
61,2,0,0,2,0,1,0,0,40,1,1
17,2,0,1,0,0,1,1055,0,24,1,0
50,1,2,0,0,0,1,2407,0,98,1,0
27,0,2,1,2,0,1,0,0,35,1,0
30,2,0,1,2,0,0,0,0,40,1,0
43,2,0,0,0,1,1,0,0,40,1,0
44,2,1,0,1,0,1,7298,0,40,1,1
35,2,1,1,2,0,0,0,0,40,1,0
25,2,1,1,1,0,0,0,0,40,1,0
24,2,1,0,0,0,0,7298,0,48,1,1
22,2,1,1,2,0,0,0,0,15,0,0
42,0,1,0,1,0,1,5178,0,40,1,1
34,2,1,1,1,1,0,0,0,45,1,0
60,2,1,1,2,0,0,0,0,42,1,0
21,2,0,1,0,0,1,0,0,40,1,0
57,0,2,0,1,0,1,15024,0,40,1,1
41,2,2,0,2,0,1,0,0,60,1,1
50,2,1,1,0,0,1,0,0,45,1,0
25,2,1,1,2,0,0,0,0,40,1,0
50,2,0,0,1,0,1,0,0,40,0,0
36,2,1,0,2,0,1,0,0,45,1,0
31,2,0,1,2,0,0,0,0,40,1,0
29,0,1,1,1,0,1,0,0,56,1,0
21,2,1,1,1,0,1,0,0,45,1,0
27,2,1,1,1,1,0,0,0,40,1,0
65,2,0,0,1,0,1,0,0,16,1,0
37,1,1,1,1,0,0,0,0,60,1,0
39,-1,2,0,-1,2,0,3464,0,40,0,0
24,2,0,1,1,0,1,0,0,40,1,0
38,2,0,1,1,0,1,0,0,80,1,0
48,2,1,0,0,0,1,7688,0,40,1,1
21,2,1,1,0,2,0,0,0,25,1,0
31,2,0,0,1,0,1,0,0,45,1,1
55,2,0,0,1,0,1,4386,0,40,1,1
24,2,1,0,0,2,0,0,0,40,0,0
43,2,0,1,0,0,0,0,0,40,1,0
26,2,1,1,1,0,1,0,0,45,1,0
46,2,1,1,2,0,0,0,0,33,1,0
35,2,1,0,0,0,1,0,0,40,1,1
41,1,1,0,0,0,1,0,0,54,1,1
26,2,1,1,1,0,1,0,0,40,1,0
34,2,2,0,2,2,1,7298,0,35,0,1
19,-1,1,1,-1,1,0,0,0,25,1,0
36,1,1,1,2,1,0,0,0,40,1,1
22,2,1,1,1,0,1,0,0,15,1,0
24,2,1,1,0,0,1,0,0,40,1,0
77,1,1,0,1,0,1,0,0,40,1,0
22,2,0,0,0,0,0,0,0,40,0,0
29,2,1,1,1,0,0,0,0,40,1,0
62,2,0,1,0,0,0,0,0,24,1,0
39,1,0,0,2,0,1,0,0,40,1,0
43,2,1,0,1,0,1,0,1485,50,1,0
35,2,0,1,1,0,1,0,0,45,1,0
29,2,0,1,2,0,0,0,0,40,1,0
76,1,2,0,1,0,1,0,0,10,1,0
63,1,0,0,0,0,1,0,0,45,1,0
23,-1,1,1,-1,1,0,0,0,15,1,0
43,2,1,0,2,0,0,0,1887,50,1,1
58,1,0,0,0,0,1,0,0,40,1,0
66,2,0,1,1,0,1,2050,0,55,1,0
41,2,1,1,1,1,1,0,0,45,1,0
26,2,1,1,0,0,1,0,0,40,1,0
47,2,1,1,0,0,1,0,0,40,1,0
55,0,0,0,0,0,1,0,0,40,1,0
53,2,0,0,1,0,1,0,0,40,1,0
17,2,0,1,0,0,1,0,0,48,0,0
30,2,0,1,1,0,1,0,0,40,1,0
49,2,2,1,2,0,1,0,0,60,1,0
19,2,0,1,1,1,1,0,0,30,0,0
45,2,0,0,0,1,1,0,0,40,1,0
26,2,1,1,1,0,1,0,0,40,1,0
38,2,1,0,1,0,1,7298,0,40,1,1
36,0,0,0,1,0,1,7298,0,40,1,1
33,2,0,1,0,0,1,0,0,20,1,0
22,0,1,1,1,1,0,0,0,40,1,0
43,1,1,1,1,0,1,0,0,42,1,0
67,-1,0,0,-1,0,1,0,0,8,1,0
30,-1,1,1,-1,0,0,0,0,40,1,0
56,2,1,0,0,0,1,0,0,25,0,0
31,2,1,1,2,0,1,0,0,25,1,0
33,2,1,0,2,0,1,0,0,40,1,1
26,2,0,0,0,0,1,0,0,40,1,0
33,2,1,0,2,0,1,0,0,40,1,1
46,0,0,0,1,0,1,0,0,30,1,0
59,-1,1,0,-1,0,1,0,0,40,1,1
38,0,0,0,0,0,1,0,0,40,1,1
65,2,0,1,0,2,1,0,0,40,1,0
40,2,1,0,1,0,1,0,0,40,1,1
42,2,0,0,0,0,0,0,0,35,1,0
26,1,0,0,1,0,1,0,0,40,0,0
36,2,0,0,0,0,0,0,0,24,1,0
62,2,2,0,2,0,1,0,0,40,1,1
43,2,1,0,1,0,1,0,0,45,1,0
43,2,1,1,2,0,1,0,1564,45,1,1
22,2,0,0,1,0,1,0,0,55,1,0
28,2,0,0,1,0,1,0,0,40,1,0
56,1,1,0,1,0,1,0,0,45,1,0
22,2,1,1,1,0,0,0,0,15,1,0
57,2,1,1,2,0,0,0,0,45,1,1
39,2,0,1,1,0,0,0,0,40,1,0
26,0,1,1,0,0,0,0,0,15,1,0
17,2,0,1,0,0,1,0,0,10,1,0
40,0,1,0,0,0,1,0,0,38,1,1
45,2,0,0,0,1,1,0,0,40,1,0
44,2,0,1,1,1,1,0,0,40,1,0
20,0,1,1,0,0,0,0,0,10,1,0
33,2,0,0,1,0,0,0,0,40,1,0
23,2,1,1,1,0,1,0,0,40,1,0
46,1,2,1,2,0,1,0,0,30,1,0
38,2,0,0,1,0,1,0,0,50,1,0
54,2,0,1,1,0,1,0,0,40,1,0
46,2,0,1,1,0,0,0,2339,45,1,0
25,2,1,0,1,0,1,0,0,40,1,0
46,2,1,1,1,0,0,0,0,40,1,0
36,0,1,0,1,0,0,0,0,40,1,0
23,2,0,1,0,0,0,0,0,25,1,0
29,2,0,1,0,0,1,0,0,40,1,0
44,2,1,0,0,0,0,0,2415,6,1,1
19,2,1,1,0,0,0,0,0,16,1,0
19,2,0,1,0,0,0,0,0,40,1,0
35,2,0,0,0,0,0,0,0,40,1,1
27,2,1,1,1,0,1,0,0,50,1,0
46,1,1,1,1,0,1,0,0,40,1,0
34,0,1,0,2,0,1,7688,0,45,0,1
34,2,0,1,0,0,0,0,0,35,1,0
44,2,1,0,1,0,1,0,0,40,1,0
45,2,1,1,0,0,0,0,0,40,1,0
20,-1,0,1,-1,0,0,0,0,35,1,0
25,2,1,0,2,0,1,0,0,55,1,1
52,1,1,0,2,0,1,0,0,50,1,1
20,2,1,1,0,0,1,0,0,40,1,0
28,2,1,1,0,0,0,0,0,40,1,0
50,0,1,0,1,0,1,0,0,40,1,1
34,2,1,1,1,0,0,0,0,64,1,0
28,2,0,0,0,2,1,0,2179,40,0,0
41,2,2,0,2,0,1,0,1977,65,1,1
28,2,0,0,0,0,1,0,0,40,1,0
46,1,0,0,1,0,1,0,0,25,1,0
28,-1,1,0,-1,0,0,0,1887,40,1,1
32,2,1,0,2,0,1,0,0,50,1,0
41,0,1,1,0,1,0,0,0,24,1,0
24,2,0,1,0,1,0,0,0,40,1,0
33,2,1,1,2,0,0,0,0,40,1,0
46,2,2,0,2,0,1,15024,0,60,1,1
31,0,1,0,0,0,1,0,0,40,1,0
35,2,0,1,1,0,1,0,0,50,1,1
52,2,0,0,0,0,1,0,0,40,0,0
30,2,0,1,0,0,0,0,0,19,1,0
34,0,0,1,0,1,1,0,0,40,1,0
34,0,0,1,1,0,0,0,0,40,1,0
20,2,1,0,1,0,1,0,0,30,1,0
17,2,0,1,0,0,1,2176,0,18,1,0
32,0,1,0,2,0,0,0,0,40,1,1
29,2,0,1,0,0,1,0,0,40,1,0
33,2,0,1,1,0,0,0,0,35,1,0
25,2,0,0,1,0,1,0,0,60,1,0
36,0,2,1,2,0,1,0,1408,40,1,0
23,2,0,1,0,0,1,0,0,72,0,0
63,1,0,0,2,0,1,0,0,40,1,1
47,0,2,0,2,0,1,0,0,40,1,0
80,-1,0,1,-1,0,1,0,0,24,1,0
17,-1,0,1,-1,0,1,0,0,40,1,0
40,1,1,0,2,0,0,2174,0,40,1,0
30,2,1,0,0,0,0,0,0,25,1,1
27,2,1,1,1,2,1,0,1980,40,0,0
33,2,2,0,2,0,1,0,0,50,1,1
34,0,0,1,0,1,1,594,0,60,1,0
34,0,1,1,1,0,0,0,0,40,1,0
23,2,1,0,0,0,1,0,0,40,1,0
42,0,1,0,0,0,0,0,0,40,1,0
29,2,1,1,2,0,1,0,0,40,1,0
45,2,0,1,0,0,0,0,0,28,1,0
24,0,0,1,0,0,1,0,0,40,1,0
44,2,1,0,2,0,1,0,0,40,1,1
27,2,0,1,1,0,1,0,0,40,0,0
20,2,1,1,1,0,1,0,0,35,1,0
44,2,0,1,2,1,0,0,0,40,1,0
51,2,0,0,1,2,1,0,0,40,1,0
20,2,0,0,0,0,1,0,0,40,1,0
17,-1,0,1,-1,0,0,0,0,5,1,0
19,2,0,1,0,1,0,0,0,40,1,0
45,1,1,0,1,0,1,0,0,55,1,1
60,2,0,0,1,0,1,0,0,40,1,1
42,2,1,0,2,1,1,0,0,40,0,1
44,1,0,0,1,0,0,0,0,40,1,1
40,2,1,0,0,2,1,0,0,40,1,1
30,2,0,0,2,0,0,0,0,40,1,0
38,2,1,0,1,1,1,0,0,50,1,0
23,2,0,0,1,0,1,0,0,60,1,0
32,-1,1,0,-1,0,1,0,0,40,1,0
44,2,1,1,0,0,1,0,0,40,1,0
54,0,0,0,1,1,1,0,0,40,1,0
32,2,1,0,2,0,1,0,0,50,1,0
50,2,0,0,1,0,1,0,0,40,1,0
24,2,1,1,1,0,0,0,0,20,1,0
37,2,0,0,0,0,0,0,0,60,1,0
52,2,0,1,1,0,1,0,0,40,1,0
38,2,1,0,1,0,1,0,0,40,1,0
49,2,2,0,2,0,1,0,1977,45,1,1
30,2,1,0,1,0,0,0,0,16,1,1
60,2,1,1,2,0,1,0,0,40,1,1
22,-1,1,1,-1,0,1,0,0,40,1,0
35,2,0,1,1,0,1,0,0,40,1,0
30,2,0,1,1,0,1,0,0,60,1,0
67,2,1,1,0,0,0,0,0,24,1,0
46,2,1,1,1,0,0,0,0,40,1,0
17,2,0,1,0,0,1,0,0,6,1,0
22,2,1,1,0,0,1,0,0,30,1,0
27,2,0,1,0,0,1,0,0,40,1,0
23,2,0,1,0,0,0,0,0,35,1,0
33,2,1,0,1,0,1,0,0,45,0,0
43,1,1,0,1,0,1,0,0,20,1,0
28,0,1,1,2,0,1,0,0,20,1,0
41,2,0,0,1,0,0,0,0,40,1,0
52,-1,0,1,-1,1,1,594,0,40,1,0
25,2,1,0,0,1,0,0,0,20,1,0
63,-1,0,0,-1,0,1,0,0,35,1,0
59,0,0,0,1,0,1,0,0,45,1,0
45,0,1,1,2,0,0,0,0,40,1,0
38,2,1,0,1,0,1,15024,0,60,1,1
40,2,0,1,0,0,0,0,0,35,1,0
46,0,0,1,0,0,1,0,0,40,1,0
35,2,1,1,2,0,0,0,0,60,1,0
34,2,0,1,2,0,0,0,0,25,1,0
33,2,1,1,1,0,1,0,0,20,1,0
41,2,0,1,0,0,0,0,0,36,1,0
20,2,1,1,0,0,1,0,0,40,1,0
23,2,0,1,0,0,1,0,0,40,0,0
26,2,1,1,2,0,0,0,0,35,1,0
72,-1,0,0,-1,0,1,0,0,20,1,0
23,0,0,1,0,0,1,0,0,40,0,0
62,0,0,0,1,0,1,0,0,40,1,0
52,2,1,0,0,0,1,0,0,40,1,0
58,2,1,1,0,0,0,0,0,42,0,0
25,2,1,1,1,0,0,0,0,40,1,0
24,2,1,1,2,1,1,0,0,40,1,0
19,2,1,1,1,0,1,0,0,8,1,0
43,2,1,0,2,0,1,0,0,40,1,0
47,0,0,1,0,1,0,0,0,40,1,0
39,2,0,1,0,0,0,0,0,40,1,0
49,2,1,0,0,0,1,0,1380,42,1,0
53,-1,0,1,-1,1,0,0,0,30,1,0
32,2,1,1,1,0,1,0,0,45,1,0
34,2,1,0,2,0,1,0,0,50,1,1
28,2,0,1,1,0,1,0,0,45,1,0
57,-1,1,1,-1,0,0,0,0,38,1,0
25,2,1,1,0,2,0,0,0,20,1,0
20,-1,1,1,-1,0,1,0,0,24,1,0
21,-1,1,1,-1,0,0,0,0,35,1,0
34,2,1,0,2,0,1,0,0,50,1,1
38,1,1,0,2,0,1,15024,0,80,1,1
50,2,0,0,2,0,1,7688,0,50,1,1
24,0,1,1,0,1,1,0,0,50,1,0
37,0,1,0,1,0,1,0,0,45,1,1
44,2,1,1,0,0,1,0,0,58,1,1
28,2,1,0,1,0,0,0,0,40,1,0
42,2,1,0,2,0,1,0,0,40,1,1
74,2,1,1,0,0,0,0,0,9,1,0
38,1,0,0,1,0,1,0,0,50,1,0
44,1,2,0,2,0,1,0,0,40,1,0
44,2,0,1,0,2,0,0,0,46,0,0
26,2,0,1,0,0,1,0,0,40,1,0
36,2,0,0,0,1,1,0,0,40,1,0
41,2,1,0,2,0,0,0,0,50,1,1
67,2,2,0,2,0,1,20051,0,48,1,1
39,0,0,0,1,0,1,0,0,50,1,0
57,2,0,1,0,1,0,0,0,30,1,0
29,2,1,1,1,0,1,0,0,40,1,0
31,1,1,1,0,0,0,0,0,45,1,0
34,-1,0,1,-1,1,0,0,0,40,1,0
44,2,1,0,1,0,1,0,0,40,1,0
29,2,2,1,2,0,1,0,0,40,1,0
30,2,1,1,0,0,0,0,0,40,1,0
27,2,0,1,1,0,1,0,0,40,1,0
27,2,1,0,1,0,1,0,0,50,1,0
32,2,0,1,0,0,0,0,0,45,1,0
58,2,0,0,0,0,0,0,0,8,1,0
35,0,1,0,1,0,1,0,0,40,1,0
21,2,0,1,0,0,1,0,0,36,1,0
28,2,1,1,1,0,1,0,0,40,1,0
46,1,1,1,2,0,1,0,0,50,1,0
36,1,0,1,0,0,0,0,0,40,1,0
72,2,0,1,0,0,0,0,0,40,1,0
35,2,0,0,0,1,0,0,0,40,1,0
33,0,1,1,1,1,0,0,0,40,1,1
69,2,0,1,0,0,0,0,0,40,1,0
35,2,0,0,0,0,1,0,0,40,1,0
31,2,0,1,0,0,0,0,0,20,0,0
34,2,0,0,1,0,0,0,0,32,1,0
30,2,0,0,0,0,1,0,0,40,0,0
28,2,1,1,1,0,1,0,0,55,1,0
54,2,1,0,1,0,1,0,0,35,1,1
47,2,1,0,2,0,1,0,0,50,1,1
24,2,0,1,0,1,0,0,0,40,1,0
52,1,1,0,2,0,1,0,0,60,1,1
20,2,0,1,0,2,1,0,0,48,1,0
43,1,2,0,2,0,1,5013,0,45,1,0
45,2,0,1,0,0,0,0,0,40,0,0
29,1,0,1,1,0,1,0,0,35,1,0
47,2,2,1,2,0,1,0,0,42,1,0
24,2,0,1,1,0,1,0,0,40,1,0
51,2,0,0,2,0,1,0,0,40,1,0
17,2,0,1,1,0,1,0,0,12,1,0
